error,id,metric,model,direction,prob,hyp_score,hyp_adv_score
add,6,SentSim_new(BERTScore_src),None,,,4.182801223774824,3.8293922167789294
add,7,SentSim_new(BERTScore_src),None,,,4.744850351155908,4.493552889921579
add,9,SentSim_new(BERTScore_src),None,,,3.440230704379295,3.3767356297605735
add,23,SentSim_new(BERTScore_src),None,,,4.366017414330717,4.121419476095721
add,66,SentSim_new(BERTScore_src),None,,,3.414459447056812,3.184992138047203
add,94,SentSim_new(BERTScore_src),None,,,3.1280059563499787,2.872451257233931
add,115,SentSim_new(BERTScore_src),None,,,3.733842038547425,3.6095221584930193
add,145,SentSim_new(BERTScore_src),None,,,4.225663466851778,4.183321756876382
add,150,SentSim_new(BERTScore_src),None,,,3.5227885229017284,3.4688030434611496
add,153,SentSim_new(BERTScore_src),None,,,3.0031421965455305,3.513307422834978
add,157,SentSim_new(BERTScore_src),None,,,3.566026787794897,2.715418098591975
add,159,SentSim_new(BERTScore_src),None,,,3.5379116072692183,3.5858942258106365
add,185,SentSim_new(BERTScore_src),None,,,3.85873649212612,3.3913818191276133
add,293,SentSim_new(BERTScore_src),None,,,4.062065306028643,4.127975706834224
add,299,SentSim_new(BERTScore_src),None,,,3.7792985954559892,3.744522399154457
add,308,SentSim_new(BERTScore_src),None,,,3.3305364906787225,3.188341802684185
add,319,SentSim_new(BERTScore_src),None,,,3.555217089550351,3.328342489128441
add,324,SentSim_new(BERTScore_src),None,,,3.324526506741077,3.452996497238625
add,345,SentSim_new(BERTScore_src),None,,,3.578927764580178,3.8400911430309916
add,360,SentSim_new(BERTScore_src),None,,,4.6350871885710605,4.494758486915904
add,362,SentSim_new(BERTScore_src),None,,,3.9856048050969832,3.7448790062120567
add,375,SentSim_new(BERTScore_src),None,,,3.596420574822038,3.5899624610332665
add,379,SentSim_new(BERTScore_src),None,,,3.4930711908719587,3.3059798332732457
add,393,SentSim_new(BERTScore_src),None,,,3.9864868175667727,3.450344017552351
add,417,SentSim_new(BERTScore_src),None,,,3.7823431848353612,4.179586000679407
add,418,SentSim_new(BERTScore_src),None,,,4.219269126860962,3.958708816634018
add,436,SentSim_new(BERTScore_src),None,,,3.8041277578687325,3.8088102460861473
add,453,SentSim_new(BERTScore_src),None,,,4.217542504531866,3.668328679422978
add,455,SentSim_new(BERTScore_src),None,,,3.924535909962019,3.7991401759580365
add,472,SentSim_new(BERTScore_src),None,,,4.311723604869774,4.045607392581078
add,484,SentSim_new(BERTScore_src),None,,,4.00865735164577,4.121375334813515
add,485,SentSim_new(BERTScore_src),None,,,3.3850222721865295,3.606774007214093
add,493,SentSim_new(BERTScore_src),None,,,4.177229948812375,4.043922410347709
add,505,SentSim_new(BERTScore_src),None,,,3.2837426201985145,3.578287013099033
add,510,SentSim_new(BERTScore_src),None,,,3.487303743166306,3.4515193589739424
add,540,SentSim_new(BERTScore_src),None,,,3.4131849976063333,3.995858598462389
add,556,SentSim_new(BERTScore_src),None,,,4.463681975883137,4.528724550079524
add,581,SentSim_new(BERTScore_src),None,,,3.479125233601485,3.3522848232229823
add,609,SentSim_new(BERTScore_src),None,,,3.7944803392080533,3.823554369328752
add,617,SentSim_new(BERTScore_src),None,,,4.068550096744689,3.7232309627706197
add,622,SentSim_new(BERTScore_src),None,,,3.8718948162820683,4.057916847263665
add,625,SentSim_new(BERTScore_src),None,,,3.8531954122281533,4.006319204488162
add,630,SentSim_new(BERTScore_src),None,,,3.354871607546253,3.508073278827333
add,632,SentSim_new(BERTScore_src),None,,,4.332977356919905,4.255448987981426
add,644,SentSim_new(BERTScore_src),None,,,3.9499996200045286,3.9277617208129625
add,669,SentSim_new(BERTScore_src),None,,,3.3517225543234312,2.7685323339184293
add,675,SentSim_new(BERTScore_src),None,,,4.602699747675693,4.226177941880891
add,680,SentSim_new(BERTScore_src),None,,,3.126622352124266,2.7940026062931054
add,684,SentSim_new(BERTScore_src),None,,,3.7381863177006176,3.351347313225433
add,692,SentSim_new(BERTScore_src),None,,,4.377440865226162,4.2455624094590405
add,698,SentSim_new(BERTScore_src),None,,,4.023681032933233,3.663128334042482
add,729,SentSim_new(BERTScore_src),None,,,3.747875639285364,3.6972346631797466
add,739,SentSim_new(BERTScore_src),None,,,4.278526119658776,3.4148082870640235
add,748,SentSim_new(BERTScore_src),None,,,3.9673651502630216,3.79038187412362
add,765,SentSim_new(BERTScore_src),None,,,3.913262929623364,3.9196013092299795
add,766,SentSim_new(BERTScore_src),None,,,3.6889624161395433,2.9176028499511086
add,775,SentSim_new(BERTScore_src),None,,,4.40254712257969,4.466622545544082
add,792,SentSim_new(BERTScore_src),None,,,3.3690892902028047,3.5222115263377
add,796,SentSim_new(BERTScore_src),None,,,3.9062960594782163,3.825287813197779
add,824,SentSim_new(BERTScore_src),None,,,4.028628079953576,4.110645468609141
add,862,SentSim_new(BERTScore_src),None,,,3.53302285560999,3.7095858187368114
add,863,SentSim_new(BERTScore_src),None,,,3.8447163019181554,3.6683840481846595
add,866,SentSim_new(BERTScore_src),None,,,3.923081882695224,4.253448532228235
add,883,SentSim_new(BERTScore_src),None,,,3.350807737510868,3.3015923737504735
add,889,SentSim_new(BERTScore_src),None,,,3.8899303264086837,3.7696625216068753
add,899,SentSim_new(BERTScore_src),None,,,4.06393829921502,4.067328999852243
add,901,SentSim_new(BERTScore_src),None,,,4.113960525047115,3.6235094140946194
add,937,SentSim_new(BERTScore_src),None,,,3.558275173299384,3.410260054823005
add,939,SentSim_new(BERTScore_src),None,,,5.052426932056316,4.791134738033428
