type,dataset,metric,ori,combined-0.1,improvement-0.1,combined-0.2,improvement-0.2,combined-0.3,improvement-0.3,combined-0.4,improvement-0.4,combined-0.5,improvement-0.5,combined-0.6,improvement-0.6,combined-0.7,improvement-0.7,combined-0.8,improvement-0.8,combined-0.9,improvement-0.9
MT,wmt15,COMET_wmt21-comet-qe-mqm,0.6328888366521872,0.6439710021247266,1.7510445485436454,0.6423122661328668,1.4889549214561981,0.6235873606362227,-1.4696855873089554,0.5863066782224999,-7.360243336901695,0.5330965960434353,-15.767735948168438,0.4699366293537387,-25.74736634010202,0.4037360162327209,-36.20743599012166,0.3400008359995242,-46.27795336096656,0.2819144317380481,-55.45593231991576
MT,wmt16,COMET_wmt21-comet-qe-mqm,0.611248861297684,0.618740286595552,1.2255933339431868,0.6155120819235641,0.6974607064018645,0.5974092552807699,-2.264152441532974,0.5621017728338542,-8.040438449159693,0.5106708553583515,-16.454510152510526,0.4477777114641744,-26.74379621525341,0.37997317185633256,-37.836584096099934,0.31328355994232354,-48.74697037844435,0.251696611898291,-58.82256347047616
MT,wmt17,COMET_wmt21-comet-qe-mqm,0.6162414995159183,0.6282030253120132,1.9410451593232736,0.6273193509358234,1.797647745016695,0.610224996987852,-0.976322193943846,0.5763676933167229,-6.47048376821715,0.5288023983409261,-14.18909652200947,0.4731552120338195,-23.21919046258629,0.4153852572268893,-32.59375463139198,0.3599748290910874,-41.58542886614068,0.3094097270899049,-49.79083243615396
MT,wmt20_mqm,COMET_wmt21-comet-qe-mqm,0.7437397743724745,0.7247517395026468,-2.553048192944729,0.6770253507601394,-8.970129864121489,0.6106732306372914,-17.89154598427348,0.5381702179700361,-27.6399842372134,0.46847901648495216,-37.01035864590835,0.4059301865973092,-45.42040098100036,0.35168164533856444,-52.71442277841151,0.3053200780553426,-58.94799652029443,0.2658546899186037,-64.25434014969593
MT,wmt21.news_mqm,COMET_wmt21-comet-qe-mqm,0.49817411490014313,0.48824933357753747,-1.9922314359097193,0.4622086440587483,-7.219457969750986,0.4246352290367495,-14.761683448393182,0.38181525163882674,-23.357067294562274,0.33893322536814247,-31.964906399024727,0.299043218370826,-39.972148406231845,0.263416541807956,-47.12359917360285,0.23225175408773574,-53.37940147004836,0.20523335277818533,-58.80288705499612
Adv.,wmt20_google-de,COMET_wmt21-comet-qe-mqm,0.8138888888888888,0.838888888888889,3.071672354948829,0.8483333333333334,4.2320819112628305,0.8444444444444446,3.754266211604129,0.8400000000000001,3.20819112627988,0.8355555555555555,2.662116040955631,0.826111111111111,1.5017064846416517,0.8177777777777778,0.4778156996587235,0.8038888888888889,-1.228668941979505,0.7833333333333333,-3.754266211604085
Adv.,xpaws-de,COMET_wmt21-comet-qe-mqm,0.7313235151338721,0.8063548157484569,10.25965924271559,0.8324245237449895,13.824389140913995,0.8489732009795823,16.08722862195591,0.8500318551273021,16.231987285640592,0.8547749229266827,16.88054674000361,0.8579254396912186,17.311343329931272,0.855499422101661,16.97961359071818,0.8481862452167097,15.97962155797019,0.8448803163347653,15.527574165327662
Adv.,xpaws-fr,COMET_wmt21-comet-qe-mqm,0.7521326063200722,0.8377288358665935,11.380470521722819,0.875578425810835,16.41277328671351,0.8842069357637239,17.55997922890835,0.8829981348218552,17.399262763259692,0.8826133251050441,17.348100280264344,0.8807703663030994,17.10306917983622,0.8738023219956287,16.176630909653667,0.8666119054432303,15.22062707575811,0.8553274850565451,13.720303822669022
Adv.,xpaws-zh,COMET_wmt21-comet-qe-mqm,0.7148896498712243,0.7572916002745367,5.931258119480454,0.778270271458156,8.86579090889743,0.7759299550174066,8.538423399636264,0.76900065813699,7.569141373848809,0.7610362788640964,6.455070233732529,0.7558584034708199,5.730780073116937,0.740541944513332,3.588287317731975,0.7322949201985697,2.4346793005718625,0.7256723906945313,1.5083084256779067
Adv.,xpaws-ja,COMET_wmt21-comet-qe-mqm,0.7514441085677489,0.8402718951282145,11.820943906230251,0.8694846743876455,15.708495744930605,0.8757881356169561,16.54734206196742,0.8773323678509832,16.75284400368473,0.8773857055510201,16.759942029928965,0.876619591847109,16.65798984277678,0.8702499986401739,15.810342874185125,0.8657075170284144,15.205842611295651,0.855226392896004,13.811045045793758
