type,dataset,metric,ori,combined-0.1,improvement-0.1,combined-0.2,improvement-0.2,combined-0.3,improvement-0.3,combined-0.4,improvement-0.4,combined-0.5,improvement-0.5,combined-0.6,improvement-0.6,combined-0.7,improvement-0.7,combined-0.8,improvement-0.8,combined-0.9,improvement-0.9
MT,wmt21.news,COMET_wmt21-comet-qe-mqm,0.6610935526660876,0.6733309782413374,1.8510883256837252,0.684779039913094,3.582773898109659,0.6917709782280108,4.640406102616779,0.6866226060308619,3.861640045016257,0.6579779585259841,-0.4712788572114879,0.5965580444288828,-9.761932781970584,0.501008889446658,-24.215130002982633,0.3791032145536904,-42.65513360025581,0.2394744944355552,-63.77600515542894
MT,wmt20,COMET_wmt21-comet-qe-mqm,0.7349346909396772,0.7568211990470013,2.9780208196921842,0.7776001442836439,5.80533942266559,0.7970046800684366,8.44564692536116,0.8138138174814007,10.732807624153606,0.8255913110615868,12.335330096609987,0.8280408746887493,12.668633675466845,0.8142902494844837,10.797634065054629,0.7751074891186744,5.466172528559343,0.698445116899429,-4.965009066804715
Adv.,wmt20_google-de,COMET_wmt21-comet-qe-mqm,0.8138888888888888,0.838888888888889,3.071672354948829,0.8483333333333334,4.2320819112628305,0.8444444444444446,3.754266211604129,0.8400000000000001,3.20819112627988,0.8355555555555555,2.662116040955631,0.826111111111111,1.5017064846416517,0.8177777777777778,0.4778156996587235,0.8038888888888889,-1.228668941979505,0.7833333333333333,-3.754266211604085
Adv.,xpaws-de,COMET_wmt21-comet-qe-mqm,0.7313235151338721,0.8063548157484569,10.25965924271559,0.8324245237449895,13.824389140913995,0.8489732009795823,16.08722862195591,0.8500318551273021,16.231987285640592,0.8547749229266827,16.88054674000361,0.8579254396912186,17.311343329931272,0.855499422101661,16.97961359071818,0.8481862452167097,15.97962155797019,0.8448803163347653,15.527574165327662
Adv.,xpaws-fr,COMET_wmt21-comet-qe-mqm,0.7521326063200722,0.8377288358665935,11.380470521722819,0.875578425810835,16.41277328671351,0.8842069357637239,17.55997922890835,0.8829981348218552,17.399262763259692,0.8826133251050441,17.348100280264344,0.8807703663030994,17.10306917983622,0.8738023219956287,16.176630909653667,0.8666119054432303,15.22062707575811,0.8553274850565451,13.720303822669022
Adv.,xpaws-zh,COMET_wmt21-comet-qe-mqm,0.7148896498712243,0.7572916002745367,5.931258119480454,0.778270271458156,8.86579090889743,0.7759299550174066,8.538423399636264,0.76900065813699,7.569141373848809,0.7610362788640964,6.455070233732529,0.7558584034708199,5.730780073116937,0.740541944513332,3.588287317731975,0.7322949201985697,2.4346793005718625,0.7256723906945313,1.5083084256779067
Adv.,xpaws-ja,COMET_wmt21-comet-qe-mqm,0.7514441085677489,0.8402718951282145,11.820943906230251,0.8694846743876455,15.708495744930605,0.8757881356169561,16.54734206196742,0.8773323678509832,16.75284400368473,0.8773857055510201,16.759942029928965,0.876619591847109,16.65798984277678,0.8702499986401739,15.810342874185125,0.8657075170284144,15.205842611295651,0.855226392896004,13.811045045793758
MT,wmt21.news,XMoverScore_CLP,0.6671057150660318,0.6802052235374801,1.9636330757789588,0.6842835124818487,2.574973805181191,0.6753057509221353,1.2291958637008271,0.6492230351926395,-2.68063658720451,0.6027163230718234,-9.652052222013252,0.5332959563221401,-20.058253995117823,0.4384466203510163,-34.27629078134674,0.32012881225491224,-52.01228155821973,0.1943556077724166,-70.86584578979678
MT,wmt20,XMoverScore_CLP,0.6905079620002061,0.7258893695575639,5.123968079219221,0.7620317493629729,10.358140861342502,0.79565606903715,15.227645852534355,0.8205112227786776,18.827192144445192,0.8296222597279652,20.14666091970676,0.8193003675585377,18.651834974539106,0.7889955064220829,14.263057030738114,0.7375111524678087,6.807045400526257,0.6645049778099208,-3.7657761562896463
Adv.,wmt20_google-de,XMoverScore_CLP,0.6427777777777778,0.6855555555555555,6.655142610198772,0.71,10.458081244598084,0.7261111111111112,12.964563526361284,0.7355555555555555,14.433880726015547,0.7427777777777778,15.557476231633526,0.7444444444444445,15.816767502160767,0.7405555555555555,15.211754537597223,0.7361111111111112,14.520311149524634,0.7361111111111112,14.520311149524634
Adv.,xpaws-de,XMoverScore_CLP,0.7470068732930356,0.8135691838729816,8.91053522526759,0.8431132459936267,12.865527230951002,0.8540512629610707,14.329773057662853,0.8606644646463114,15.2150663423267,0.8544944049935255,14.389095407737251,0.8536133323824583,14.271148352286067,0.849792976508455,13.759726568820806,0.844597984108709,13.064285524638052,0.8430006602537283,12.850455650765657
