type,dataset,metric,ori,combined-0.1,improvement-0.1,combined-0.2,improvement-0.2,combined-0.3,improvement-0.3,combined-0.4,improvement-0.4,combined-0.5,improvement-0.5,combined-0.6,improvement-0.6,combined-0.7,improvement-0.7,combined-0.8,improvement-0.8,combined-0.9,improvement-0.9
MT,wmt21.news,BARTScore_bart-large-cnn,0.6861350359038628,0.6941324565307249,1.1655753180314976,0.6991492971072982,1.896749258153152,0.7010188780707562,2.1692292898709997,0.6996362420434369,1.967718515027972,0.6949709512613168,1.2877808150132175,0.6870738564346536,0.13682737094951047,0.6760750211816655,-1.4661858374488967,0.6621762348652798,-3.4918492402915335,0.6456457269084019,-5.901070033848843
MT,wmt20,BARTScore_bart-large-cnn,0.8352951726495519,0.8559516038891648,2.472949912315525,0.872427856734175,4.4454565643948785,0.8850114543834261,5.9519417041731915,0.8939854350217651,7.026290141968383,0.8996146576735276,7.700210312476075,0.9021409764853574,8.002656548794729,0.9017861280301724,7.960174745139681,0.8987599150691932,7.597882101764264,0.8932718403040548,6.940859896340745
Adv.,paws_back,BARTScore_bart-large-cnn,0.7623888888888889,0.8701111111111111,14.12956350652188,0.9005555555555556,18.122859433068573,0.9090000000000001,19.230488960139922,0.9103888888888889,19.412664869197705,0.9099444444444446,19.35436857829922,0.9092222222222222,19.259637105589157,0.9071111111111111,18.98272972382131,0.9036666666666667,18.53093346935801,0.9003888888888889,18.100998323981642
Adv.,paws_para,BARTScore_bart-large-cnn,0.43511111111111117,0.6059444444444445,39.26200204290091,0.7516111111111111,72.74004085801838,0.8340555555555556,91.68794688457606,0.8740555555555556,100.88100102145043,0.8967222222222223,106.09039836567926,0.9083888888888888,108.77170582226756,0.9157777777777777,110.46986721144019,0.9202777777777779,111.50408580183861,0.9266111111111113,112.95965270684371
Adv.,wmt20_google-de,BARTScore_bart-large-cnn,0.495,0.5950000000000001,20.202020202020222,0.7,41.41414141414141,0.7777777777777778,57.12682379349046,0.8216666666666667,65.99326599326601,0.8438888888888889,70.48260381593717,0.8588888888888887,73.51290684624014,0.8666666666666667,75.08417508417509,0.8805555555555554,77.89001122334453,0.8933333333333334,80.4713804713805
Adv.,xpaws-de,BARTScore_bart-large-cnn,0.6344562259553888,0.7663674286441833,20.79122204059982,0.8607327196838035,35.66463444939465,0.9043305669591913,42.53632165046775,0.9180326040017758,44.695972148333276,0.9261007899692858,45.96764159335458,0.9279272816297719,46.255524600213846,0.930923522043103,46.727777892207186,0.9311246156038714,46.75947331145627,0.9281645552048714,46.29292254279722
MT,wmt21.news,BARTScore_bart-large-cnn+para_bi,0.7238962835954738,0.7200197612662677,-0.5355079749756464,0.7141145286494011,-1.351264700170629,0.7065543390310431,-2.395639397165572,0.6976406204289153,-3.626992396776918,0.6876213424600789,-5.011068844727751,0.6767003624065107,-6.519707623659665,0.6650427352364068,-8.130107819693599,0.6527792239818079,-9.824205652837325,0.6400117677589561,-11.587919117346079
MT,wmt20,BARTScore_bart-large-cnn+para_bi,0.8792946242158276,0.8896722253633204,1.180218877915662,0.8966531746028071,1.974144946292622,0.9008669967987151,2.4533725089160185,0.9028234727599461,2.675877674687488,0.9029319095629408,2.688209923743523,0.9015231494622992,2.52799512635431,0.8988688636975073,2.226129779780739,0.8951964046087835,1.8084701026277017,0.8906994251615549,1.2970397670631018
Adv.,paws_back,BARTScore_bart-large-cnn+para_bi,0.5915555555555555,0.8231666666666667,39.152892561983485,0.8603888888888889,45.44515401953419,0.876388888888889,48.149887302779895,0.8825555555555556,49.19233658903084,0.8866666666666667,49.8873027798648,0.8893333333333333,50.33809166040572,0.8917222222222223,50.741923365890344,0.8927777777777778,50.92036063110446,0.8955555555555557,51.38993238166796
Adv.,paws_para,BARTScore_bart-large-cnn+para_bi,0.6191111111111112,0.7727222222222223,24.811557788944725,0.855,38.10122038765253,0.8916111111111111,44.01471643933954,0.9097777777777778,46.94903086862885,0.9191666666666668,48.46554199569275,0.9237777777777778,49.21033740129217,0.9267777777777779,49.69490308686289,0.9287777777777778,50.01794687724335,0.9302777777777779,50.260229720028725
