setup,metric,nli,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,realsumm,sum-summary,3.076796938537898,-6.1638016047529405,0.4781078400301716,0.5251899116152723,0.4928182474151296
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,realsumm,sum-summary,13.779092464329109,3.5790576620277856,0.4781078400301716,0.5251899116152723,0.5439867613871356
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,realsumm,sum-summary,9.674586444632904,-0.157488802530625,0.4781078400301716,0.5251899116152723,0.5243627963124577
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,realsumm,sum-summary,12.528522151754858,2.4405981110592423,0.4781078400301716,0.5251899116152723,0.5380076866776283
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,realsumm,sum-summary,10.60523241991044,0.6897268945573679,0.4781078400301716,0.5251899116152723,0.5288122876831849
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,realsumm,sum-summary,11.04286786024918,1.0881293209434362,0.4781078400301716,0.5251899116152723,0.530904657034195
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,realsumm,sum-summary,10.76254708327142,0.832938658989907,0.4781078400301716,0.5251899116152723,0.5295644214222308
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,realsumm,sum-summary,8.909129441129924,-0.8543243404700316,0.4781078400301716,0.5251899116152723,0.52070308636665
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,realsumm,sum-summary,8.8670560085305,-0.8926259862897263,0.4781078400301716,0.5251899116152723,0.5205019299868223
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,realsumm,sum-system,13.867104428676772,-29.378502930410537,0.5309584244634032,0.8560948276993455,0.6045869836566002
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,realsumm,sum-system,27.674828784375887,-20.81481660487924,0.5309584244634032,0.8560948276993455,0.6779002593498699
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,realsumm,sum-system,40.543575039324544,-12.833493724201258,0.5309584244634032,0.8560948276993455,0.7462279517133384
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,realsumm,sum-system,51.5048634802734,-6.035194923196165,0.5309584244634032,0.8560948276993455,0.8044278361202897
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,realsumm,sum-system,59.75831330859859,-0.9163242380268126,0.5309584244634032,0.8560948276993455,0.8482502232926425
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,realsumm,sum-system,64.91619599302362,2.282645286236173,0.5309584244634032,0.8560948276993455,0.8756364359295363
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,realsumm,sum-system,67.08721049374546,3.629129812825667,0.5309584244634032,0.8560948276993455,0.887163620317441
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,realsumm,sum-system,66.76168432496112,3.4272352841975477,0.5309584244634032,0.8560948276993455,0.8854352117004477
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,realsumm,sum-system,64.59784184433317,2.0851989149453742,0.5309584244634032,0.8560948276993455,0.8739461077574358
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,realsumm,sum-summary,4.203907821924635,1.945461558246956,0.4781078400301716,0.4886995902507953,0.4982070529144349
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,realsumm,sum-summary,7.424922645319169,5.096666246444091,0.4781078400301716,0.4886995902507953,0.5136069773136182
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,realsumm,sum-summary,6.251884012274439,3.949051273349588,0.4781078400301716,0.4886995902507953,0.5079985876424485
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,realsumm,sum-summary,9.08680080075809,6.722525958915858,0.4781078400301716,0.4886995902507953,0.5215525470665204
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.5,realsumm,sum-summary,14.974302890081056,12.482426239689104,0.4781078400301716,0.4886995902507953,0.5497011561375137
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.6,realsumm,sum-summary,16.962640637191566,14.42767007554664,0.4781078400301716,0.4886995902507953,0.5592075547927283
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.7,realsumm,sum-summary,19.07520181369349,16.494445004722646,0.4781078400301716,0.4886995902507953,0.5693078754030176
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.8,realsumm,sum-summary,16.802046504765066,14.270556553645486,0.4781078400301716,0.4886995902507953,0.5584397416549688
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.9,realsumm,sum-summary,9.027576048844448,6.664584804925484,0.4781078400301716,0.4886995902507953,0.5212693888843829
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.1,realsumm,sum-system,7.444563527312951,-32.07804390725257,0.5309584244634032,0.8399139166386826,0.5704859616762012
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.2,realsumm,sum-system,15.66561605489527,-26.88103858205833,0.5309584244634032,0.8399139166386826,0.6141363326509611
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.3,realsumm,sum-system,24.59118100318704,-21.23866999105252,0.5309584244634032,0.8399139166386826,0.6615273716748689
ref,BARTScore_bart-large-cnn,NLI2Score_monolingual,0.4,realsumm,sum-system,33.99599858094942,-15.29333794626562,0.5309584244634032,0.8399139166386826,0.7114630429094132
