type,dataset,metric,ori,combined-0.1,improvement-0.1,combined-0.2,improvement-0.2,combined-0.3,improvement-0.3,combined-0.4,improvement-0.4,combined-0.5,improvement-0.5,combined-0.6,improvement-0.6,combined-0.7,improvement-0.7,combined-0.8,improvement-0.8,combined-0.9,improvement-0.9
MT,wmt15,BARTScore_bart-large-cnn,0.7531099564222598,0.7930215062527535,5.299564756798381,0.8082819768947683,7.325891790703443,0.8013119198126685,6.400388546102609,0.7783347848301414,3.3494217136253557,0.7462917491289834,-0.9053402142851774,0.7107145260772324,-5.629381205691663,0.6751479255794025,-10.352011705332554,0.6414960205490887,-14.820403703518481,0.6105891734495638,-18.924299401080592
MT,wmt16,BARTScore_bart-large-cnn,0.7163618057337994,0.7502269292382037,4.727377036763536,0.7626965892080843,6.468070059489306,0.7541276424379738,5.271894230247143,0.7292119201195478,1.793802277410017,0.6943892588444189,-3.0672415410077702,0.6553828001107952,-8.512319492039477,0.6161328764254042,-13.991383754152908,0.5788716551571449,-19.192836563336535,0.5446233028130866,-23.973710148434545
MT,wmt17,BARTScore_bart-large-cnn,0.7212746832667308,0.7665335983124935,6.274851467235765,0.787513305793583,9.183550187405775,0.7849145742182433,8.823253113956596,0.7645167012241716,5.995221925937155,0.7336473621003277,1.715390699360153,0.6984012070183538,-3.171257328037713,0.6627497761985958,-8.11409417603145,0.6288482616227175,-12.814316624202604,0.5976543310194121,-17.139150328613894
MT,wmt20_mqm,BARTScore_bart-large-cnn,0.4141544296754216,0.4537922956670153,9.570793682602496,0.46526085109990317,12.339943210201664,0.45622644879087204,10.158534136269616,0.43727768306362313,5.583244251745301,0.41560431169895373,0.3500824619136367,0.3946875307533812,-4.700396163164755,0.37581383237122273,-9.257560599858106,0.35924987639827977,-13.257024274778683,0.3448581344873679,-16.731994208624577
MT,wmt21.news_mqm,BARTScore_bart-large-cnn,0.3279152426490494,0.3546653717908768,8.157635163808674,0.35776962078335933,9.104297163234198,0.34692727670455414,5.797850048664044,0.3309174497398339,0.9155436223492686,0.3144240391300587,-4.114234949861628,0.2992896322365432,-8.729576027407393,0.28600582043982536,-12.780565450590387,0.2745325617192293,-16.279414307968853,0.2646581363805063,-19.2906879709291
Adv.,paws_back,BARTScore_bart-large-cnn,0.7623888888888889,0.8701111111111111,14.12956350652188,0.9005555555555556,18.122859433068573,0.9090000000000001,19.230488960139922,0.9103888888888889,19.412664869197705,0.9099444444444446,19.35436857829922,0.9092222222222222,19.259637105589157,0.9071111111111111,18.98272972382131,0.9036666666666667,18.53093346935801,0.9003888888888889,18.100998323981642
Adv.,paws_para,BARTScore_bart-large-cnn,0.43511111111111117,0.6059444444444445,39.26200204290091,0.7516111111111111,72.74004085801838,0.8340555555555556,91.68794688457606,0.8740555555555556,100.88100102145043,0.8967222222222223,106.09039836567926,0.9083888888888888,108.77170582226756,0.9157777777777777,110.46986721144019,0.9202777777777779,111.50408580183861,0.9266111111111113,112.95965270684371
Adv.,wmt20_google-de,BARTScore_bart-large-cnn,0.495,0.5950000000000001,20.202020202020222,0.7,41.41414141414141,0.7777777777777778,57.12682379349046,0.8216666666666667,65.99326599326601,0.8438888888888889,70.48260381593717,0.8588888888888887,73.51290684624014,0.8666666666666667,75.08417508417509,0.8805555555555554,77.89001122334453,0.8933333333333334,80.4713804713805
Adv.,xpaws-de,BARTScore_bart-large-cnn,0.6344562259553888,0.7663674286441833,20.79122204059982,0.8607327196838035,35.66463444939465,0.9043305669591913,42.53632165046775,0.9180326040017758,44.695972148333276,0.9261007899692858,45.96764159335458,0.9279272816297719,46.255524600213846,0.930923522043103,46.727777892207186,0.9311246156038714,46.75947331145627,0.9281645552048714,46.29292254279722
MT,wmt15,BARTScore_bart-large-cnn+para_bi,0.7683659373353805,0.7943991229981349,3.3881233404274846,0.8000235366087666,4.120120080175815,0.7883134123680398,2.5960904906632276,0.7645852921814313,-0.49203705815747956,0.7342158279394899,-4.4445111029153495,0.7013530076610026,-8.721486263013212,0.6686606192829858,-12.976280338267365,0.6376070384237431,-17.017789643967916,0.60886683308246,-20.75822163669151
MT,wmt16,BARTScore_bart-large-cnn+para_bi,0.7208001284643298,0.7442509207844484,3.253438976222256,0.7454350253618635,3.4177153866521204,0.728650037982796,1.0890549555242934,0.7004957152152559,-2.8169269742407854,0.666966968937802,-7.468528015001851,0.6322320323859058,-12.287469519063364,0.5987035329504137,-16.939036314275345,0.5675538898734223,-21.260573151866645,0.5392086578545974,-25.193040822095092
MT,wmt17,BARTScore_bart-large-cnn+para_bi,0.7524285619824889,0.7803124944692588,3.705857791110656,0.7870333946969137,4.5990854764003775,0.7757551280245865,3.1001701983025542,0.7520800072044038,-0.04632396956950613,0.7216129843674118,-4.095482172272213,0.6886122413272234,-8.481379346781182,0.6557810477227753,-12.844742895600337,0.6246010140722567,-16.988662361970132,0.5957522341061079,-20.822751260740592
MT,wmt20_mqm,BARTScore_bart-large-cnn+para_bi,0.40757099693008936,0.44189977868792824,8.422773459448907,0.45089559523001105,10.629951254199078,0.4424927807113834,8.56827007915979,0.4258211512557497,4.477785333874196,0.4068173814081907,-0.18490410936378154,0.38836936272467276,-4.711236655710871,0.3715864305145369,-8.829030202491294,0.3567345785127437,-12.473021584032296,0.3437311058376865,-15.663501959967308
