setup,metric,nli,nli_weight,dataset,type,improvement,improvement_nli,ori,ori_nli,current
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,realsumm,sum-summary,7.059472099068355,-6.109228464182068,0.4781078400301716,0.545165111786618,0.5118597296005599
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,realsumm,sum-summary,12.825734280985415,-1.0522372935454891,0.4781078400301716,0.545165111786618,0.5394286811690002
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,realsumm,sum-summary,12.766994712554776,-1.1037516835522907,0.4781078400301716,0.545165111786618,0.5391478426871334
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,realsumm,sum-summary,14.276720555599724,0.2202724446433402,0.4781078400301716,0.545165111786618,0.546365960305693
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,realsumm,sum-summary,15.3490852739284,1.160732441293609,0.4781078400301716,0.545165111786618,0.5514930200977398
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.6,realsumm,sum-summary,14.388938776774063,0.3186874205427704,0.4781078400301716,0.545165111786618,0.5469024844190699
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.7,realsumm,sum-summary,14.620753969557768,0.521988509904073,0.4781078400301716,0.545165111786618,0.5480108110301498
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.8,realsumm,sum-summary,14.995380666942198,0.8505347745707887,0.4781078400301716,0.545165111786618,0.5498019306411909
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.9,realsumm,sum-summary,14.501136599765603,0.4170845073093394,0.4781078400301716,0.545165111786618,0.5474389110071356
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.1,realsumm,sum-system,19.58185397330415,-23.372045749256134,0.5309584244634032,0.8285878619741694,0.6349299278007833
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.2,realsumm,sum-system,36.94386881910936,-12.2464808320062,0.5309584244634032,0.8285878619741694,0.7271150082811728
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.3,realsumm,sum-system,50.44019004877167,-3.5980492232206083,0.5309584244634032,0.8285878619741694,0.7987748628427076
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.4,realsumm,sum-system,59.33836747968741,2.1038955989714894,0.5309584244634032,0.8285878619741694,0.846020485535856
ref,BARTScore_bart-large-cnn,NLI1Score_monolingual,0.5,realsumm,sum-system,63.96149765339055,5.0663936342072,0.5309584244634032,0.8285878619741694,0.8705673846670423
